Pk,Tm,Player,Year_x,Rookie Year,Sophomore Year,Third Year,Year_y,Rookie_WS,Year_x.1,Sophomore_WS,Year_y.1,Third_WS
1,NOH,Anthony Davis,2012,2013,2014,2015,2013.0,6.1,2014.0,10.4,2015.0,14.0
2,CHA,Michael Kidd-Gilchrist,2012,2013,2014,2015,2013.0,2.1,2014.0,3.1,2015.0,3.8
3,WAS,Bradley Beal,2012,2013,2014,2015,2013.0,3.0,2014.0,4.0,2015.0,3.7
4,CLE,Dion Waiters,2012,2013,2014,2015,2013.0,0.9,2014.0,1.6,2015.0,1.1
5,SAC,Thomas Robinson,2012,2013,2014,2015,2013.0,-0.1,2014.0,1.6,2015.0,1.5
6,POR,Damian Lillard,2012,2013,2014,2015,2013.0,5.8,2014.0,9.6,2015.0,10.6
7,GSW,Harrison Barnes,2012,2013,2014,2015,2013.0,2.8,2014.0,3.2,2015.0,6.7
8,TOR,Terrence Ross,2012,2013,2014,2015,2013.0,0.9,2014.0,4.2,2015.0,2.4
9,DET,Andre Drummond,2012,2013,2014,2015,2013.0,4.5,2014.0,9.9,2015.0,7.7
10,NOH,Austin Rivers,2012,2013,2014,2015,2013.0,-1.1,2014.0,0.6,2015.0,1.5
11,POR,Meyers Leonard,2012,2013,2014,2015,2013.0,2.4,2014.0,0.6,2015.0,2.8
12,HOU,Jeremy Lamb,2012,2013,2014,2015,2013.0,0.2,2014.0,3.3,2015.0,1.6
13,PHO,Kendall Marshall,2012,2013,2014,2015,2013.0,-0.2,2014.0,0.9,2015.0,0.8
14,MIL,John Henson,2012,2013,2014,2015,2013.0,1.9,2014.0,3.3,2015.0,3.6
15,PHI,Maurice Harkless,2012,2013,2014,2015,2013.0,2.4,2014.0,2.8,2015.0,0.3
16,HOU,Royce White,2012,2013,2014,2015,,,2014.0,0.0,,
17,DAL,Tyler Zeller,2012,2013,2014,2015,2013.0,2.0,2014.0,2.6,2015.0,6.5
18,HOU,Terrence Jones,2012,2013,2014,2015,2013.0,0.7,2014.0,7.3,2015.0,3.0
19,ORL,Andrew Nicholson,2012,2013,2014,2015,2013.0,1.7,2014.0,0.6,2015.0,0.1
20,DEN,Evan Fournier,2012,2013,2014,2015,2013.0,1.0,2014.0,1.4,2015.0,2.1
21,BOS,Jared Sullinger,2012,2013,2014,2015,2013.0,2.7,2014.0,3.9,2015.0,4.0
22,BOS,Fab Melo,2012,2013,2014,2015,2013.0,0.0,,,,
23,ATL,John Jenkins,2012,2013,2014,2015,2013.0,1.7,2014.0,-0.1,2015.0,0.9
24,CLE,Jared Cunningham,2012,2013,2014,2015,2013.0,0.0,2014.0,0.1,2015.0,0.0
25,MEM,Tony Wroten,2012,2013,2014,2015,2013.0,0.1,2014.0,-0.9,2015.0,0.3
26,IND,Miles Plumlee,2012,2013,2014,2015,2013.0,0.0,2014.0,4.0,2015.0,2.6
27,MIA,Arnett Moultrie,2012,2013,2014,2015,2013.0,1.7,2014.0,0.0,,
28,OKC,Perry Jones,2012,2013,2014,2015,2013.0,0.0,2014.0,1.5,2015.0,0.2
29,CHI,Marquis Teague,2012,2013,2014,2015,2013.0,-0.3,2014.0,-0.5,,
30,GSW,Festus Ezeli,2012,2013,2014,2015,2013.0,1.5,,,2015.0,1.7
0,,Round 2,2012,2013,2014,2015,,,,,,
31,CHA,Jeff Taylor,2012,2013,2014,2015,2013.0,1.2,2014.0,-0.2,2015.0,0.3
32,WAS,TomÃ¡Å¡ SatoranskÃ½,2012,2013,2014,2015,,,,,,
33,CLE,Bernard James,2012,2013,2014,2015,2013.0,1.2,2014.0,0.1,2015.0,0.5
34,CLE,Jae Crowder,2012,2013,2014,2015,2013.0,1.5,2014.0,2.3,2015.0,3.9
35,GSW,Draymond Green,2012,2013,2014,2015,2013.0,0.6,2014.0,4.5,2015.0,8.5
36,SAC,Orlando Johnson,2012,2013,2014,2015,2013.0,1.5,2014.0,0.1,,
37,TOR,Quincy Acy,2012,2013,2014,2015,2013.0,1.1,2014.0,1.5,2015.0,1.7
38,DEN,Quincy Miller,2012,2013,2014,2015,2013.0,0.0,2014.0,0.0,2015.0,-0.1
39,DET,Khris Middleton,2012,2013,2014,2015,2013.0,0.9,2014.0,2.7,2015.0,6.7
40,POR,Will Barton,2012,2013,2014,2015,2013.0,-0.5,2014.0,0.6,2015.0,1.3
41,POR,Tyshawn Taylor,2012,2013,2014,2015,2013.0,-0.4,2014.0,-0.6,,
42,MIL,Doron Lamb,2012,2013,2014,2015,2013.0,-0.4,2014.0,0.5,,
43,ATL,Mike Scott,2012,2013,2014,2015,2013.0,0.9,2014.0,2.6,2015.0,2.7
44,DET,Kim English,2012,2013,2014,2015,2013.0,0.2,,,,
45,PHI,Justin Hamilton,2012,2013,2014,2015,,,2014.0,0.1,2015.0,1.5
46,NOH,Darius Miller,2012,2013,2014,2015,2013.0,0.5,2014.0,0.8,2015.0,-0.1
47,UTA,Kevin Murphy,2012,2013,2014,2015,2013.0,-0.3,,,,
48,NYK,Kostas Papanikolaou,2012,2013,2014,2015,,,,,2015.0,0.5
49,ORL,Kyle O'Quinn,2012,2013,2014,2015,2013.0,1.4,2014.0,2.5,2015.0,1.6
50,DEN,Ä°zzet TÃ¼rkyÄ±lmaz,2012,2013,2014,2015,,,,,,
51,BOS,Kris Joseph,2012,2013,2014,2015,2013.0,-0.1,,,,
52,GSW,Ognjen KuzmiÄ,2012,2013,2014,2015,,,2014.0,0.0,2015.0,0.3
53,LAC,Furkan Aldemir,2012,2013,2014,2015,,,,,2015.0,1.4
54,PHI,Tornike Shengelia,2012,2013,2014,2015,2013.0,0.0,2014.0,-0.1,,
55,DAL,Darius Johnson-Odom,2012,2013,2014,2015,2013.0,-0.1,2014.0,-0.2,,
56,TOR,Tomislav ZubÄiÄ,2012,2013,2014,2015,,,,,,
57,NJN,Ä°lkan Karaman,2012,2013,2014,2015,,,,,,
58,MIN,Robbie Hummel,2012,2013,2014,2015,,,2014.0,1.1,2015.0,0.8
59,SAS,Marcus Denmon,2012,2013,2014,2015,,,,,,
60,LAL,Robert Sacre,2012,2013,2014,2015,2013.0,-0.1,2014.0,1.4,2015.0,0.8
1,CLE,Anthony Bennett,2013,2014,2015,2016,2014.0,-0.4,2015.0,0.3,2016.0,0.1
2,ORL,Victor Oladipo,2013,2014,2015,2016,2014.0,1.3,2015.0,3.5,2016.0,4.9
3,WAS,Otto Porter Jr.,2013,2014,2015,2016,2014.0,0.0,2015.0,2.7,2016.0,5.6
4,CHA,Cody Zeller,2013,2014,2015,2016,2014.0,2.6,2015.0,3.8,2016.0,6.3
5,PHO,Alex Len,2013,2014,2015,2016,2014.0,0.2,2015.0,3.4,2016.0,1.3
6,NOH,Nerlens Noel,2013,2014,2015,2016,,,2015.0,4.0,2016.0,3.0
7,SAC,Ben McLemore,2013,2014,2015,2016,2014.0,0.8,2015.0,2.5,2016.0,0.3
8,DET,Kentavious Caldwell-Pope,2013,2014,2015,2016,2014.0,1.8,2015.0,2.8,2016.0,5.3
9,MIN,Trey Burke,2013,2014,2015,2016,2014.0,0.9,2015.0,2.4,2016.0,2.1
10,POR,CJ McCollum,2013,2014,2015,2016,2014.0,0.2,2015.0,1.8,2016.0,6.0
11,PHI,Michael Carter-Williams,2013,2014,2015,2016,2014.0,1.3,2015.0,0.8,2016.0,1.2
12,OKC,Steven Adams,2013,2014,2015,2016,2014.0,2.9,2015.0,4.1,2016.0,6.5
13,DAL,Kelly Olynyk,2013,2014,2015,2016,2014.0,2.9,2015.0,3.6,2016.0,4.1
14,UTA,Shabazz Muhammad,2013,2014,2015,2016,2014.0,0.3,2015.0,2.0,2016.0,2.7
15,MIL,Giannis Antetokounmpo,2013,2014,2015,2016,2014.0,1.2,2015.0,6.2,2016.0,7.1
16,BOS,Lucas Nogueira,2013,2014,2015,2016,,,2015.0,0.0,2016.0,0.7
17,ATL,Dennis SchrÃ¶der,2013,2014,2015,2016,2014.0,-0.7,2015.0,2.5,2016.0,2.2
18,ATL,Shane Larkin,2013,2014,2015,2016,2014.0,-0.1,2015.0,1.7,2016.0,1.4
19,CLE,Sergey Karasev,2013,2014,2015,2016,2014.0,-0.1,2015.0,0.7,2016.0,0.3
20,CHI,Tony Snell,2013,2014,2015,2016,2014.0,1.6,2015.0,2.4,2016.0,0.4
21,UTA,Gorgui Dieng,2013,2014,2015,2016,2014.0,2.2,2015.0,4.9,2016.0,5.9
22,BRK,Mason Plumlee,2013,2014,2015,2016,2014.0,4.7,2015.0,4.8,2016.0,6.1
23,IND,Solomon Hill,2013,2014,2015,2016,2014.0,0.4,2015.0,3.5,2016.0,2.1
24,NYK,Tim Hardaway Jr.,2013,2014,2015,2016,2014.0,3.1,2015.0,0.8,2016.0,1.9
25,LAC,Reggie Bullock,2013,2014,2015,2016,2014.0,0.2,2015.0,0.1,2016.0,1.2
26,MIN,Andre Roberson,2013,2014,2015,2016,2014.0,0.8,2015.0,2.1,2016.0,3.4
27,DEN,Rudy Gobert,2013,2014,2015,2016,2014.0,0.4,2015.0,9.3,2016.0,6.4
28,SAS,Livio Jean-Charles,2013,2014,2015,2016,,,,,,
29,OKC,Archie Goodwin,2013,2014,2015,2016,2014.0,0.2,2015.0,0.2,2016.0,0.1
30,PHO,Nemanja NedoviÄ,2013,2014,2015,2016,2014.0,-0.4,,,,
0,,Round 2,2013,2014,2015,2016,,,,,,
31,CLE,Allen Crabbe,2013,2014,2015,2016,2014.0,0.1,2015.0,1.3,2016.0,4.3
32,OKC,Ãlex Abrines,2013,2014,2015,2016,,,,,,
33,CLE,Carrick Felix,2013,2014,2015,2016,2014.0,0.0,,,,
34,HOU,Isaiah Canaan,2013,2014,2015,2016,2014.0,0.2,2015.0,1.4,2016.0,1.4
35,PHI,Glen Rice Jr.,2013,2014,2015,2016,2014.0,-0.1,2015.0,-0.1,,
36,SAC,Ray McCallum,2013,2014,2015,2016,2014.0,0.4,2015.0,1.4,2016.0,0.3
37,DET,Tony Mitchell,2013,2014,2015,2016,2014.0,0.2,,,,
37,DET,Tony Mitchell,2013,2014,2015,2016,2014.0,0.1,,,,
38,WAS,Nate Wolters,2013,2014,2015,2016,2014.0,1.2,2015.0,-0.2,,
39,POR,Jeff Withey,2013,2014,2015,2016,2014.0,1.8,2015.0,0.8,2016.0,2.3
40,POR,Grant Jerrett,2013,2014,2015,2016,,,2015.0,-0.1,,
