Season,Team Acquiring,Acquired Player,Draft Pick,Acquisition Type,Acquiring GM,Year 2,Year 3,Helper,Acquired Player Win Shares Year 1,Acquired Player Win Shares Year 2,Acquired Player Win Shares Year 3,Pk,Rookie_WS,Sophomore_WS,Third_WS,Sophomore_AVG,Third_AVG,Year 2_AVG,Year 3_AVG
2022,DET,Cade Cunningham,1,Draft Pick,Troy Weaver,2023,2024,2022Cade Cunningham,-0.5,-0.1,1.8,1,1.454654680063458,2.775450026441036,3.2150941300898994,2.115052353252247,2.4817329455314647,-0.3,0.4000000000000001
2022,HOU,Jalen Green,2,Draft Pick,Rafael Stone,2023,2024,2022Jalen Green,0.7,1.8,3.1,2,1.4292934955050236,2.727404547858276,3.161436277102062,2.0783490216816496,2.4393781068217875,1.25,1.8666666666666665
2022,CLE,Evan Mobley,3,Draft Pick,Koby Altman,2023,2024,2022Evan Mobley,5.2,8.5,5.5,3,1.4039323109465889,2.679359069275516,3.107778424114225,2.041645690111052,2.3970232681121093,6.85,6.3999999999999995
2022,TOR,Scottie Barnes,4,Draft Pick,Bobby Webster,2023,2024,2022Scottie Barnes,6.6,5.0,4.3,4,1.3785711263881542,2.6313135906927547,3.054120571126388,2.0049423585404544,2.354668429402432,5.8,5.3
2022,ORL,Jalen Suggs,5,Draft Pick,John Hammond,2023,2024,2022Jalen Suggs,-1.6,1.4,4.7,5,1.3532099418297197,2.583268112109994,3.0004627181385506,1.9682390269698569,2.3123135906927548,-0.10000000000000009,1.5
2022,OKC,Josh Giddey,6,Draft Pick,Sam Presti,2023,2024,2022Josh Giddey,0.4,4.0,4.3,6,1.3278487572712847,2.535222633527233,2.946804865150713,1.931535695399259,2.269958751983077,2.2,2.9
2022,GSW,Jonathan Kuminga,7,Draft Pick,Bob Myers,2023,2024,2022Jonathan Kuminga,3.0,2.4,4.6,7,1.30248757271285,2.487177154944473,2.8931470121628764,1.8948323638286613,2.2276039132734,2.7,3.3333333333333335
2022,ORL,Franz Wagner,8,Draft Pick,John Hammond,2023,2024,2022Franz Wagner,4.0,5.4,6.4,8,1.2771263881544157,2.439131676361713,2.83948915917504,1.858129032258064,2.185249074563722,4.7,5.266666666666667
2022,SAC,Davion Mitchell,9,Draft Pick,Monte McNair,2023,2024,2022Davion Mitchell,0.1,1.5,1.3,9,1.2517652035959808,2.391086197778953,2.785831306187202,1.8214257006874668,2.1428942358540453,0.8,0.9666666666666668
2022,MEM,Ziaire Williams,10,Draft Pick,Zach Kleiman,2023,2024,2022Ziaire Williams,2.2,0.1,0.2,10,1.226404019037546,2.343040719196192,2.7321734531993647,1.784722369116869,2.100539397144368,1.1500000000000001,0.8333333333333335
2022,CHO,James Bouknight,11,Draft Pick,Mitch Kupchak,2023,2024,2022James Bouknight,0.0,-0.4,0.1,11,1.2010428344791113,2.2949952406134315,2.678515600211528,1.7480190375462716,2.0581845584346903,-0.2,-0.10000000000000002
