Pk,Tm,Player,Year,Rookie Year,Sophomore Year,Third Year
1,NOH,Anthony Davis,2012,2013,2014,2015
2,CHA,Michael Kidd-Gilchrist,2012,2013,2014,2015
3,WAS,Bradley Beal,2012,2013,2014,2015
4,CLE,Dion Waiters,2012,2013,2014,2015
5,SAC,Thomas Robinson,2012,2013,2014,2015
6,POR,Damian Lillard,2012,2013,2014,2015
7,GSW,Harrison Barnes,2012,2013,2014,2015
8,TOR,Terrence Ross,2012,2013,2014,2015
9,DET,Andre Drummond,2012,2013,2014,2015
10,NOH,Austin Rivers,2012,2013,2014,2015
11,POR,Meyers Leonard,2012,2013,2014,2015
12,HOU,Jeremy Lamb,2012,2013,2014,2015
13,PHO,Kendall Marshall,2012,2013,2014,2015
14,MIL,John Henson,2012,2013,2014,2015
15,PHI,Maurice Harkless,2012,2013,2014,2015
16,HOU,Royce White,2012,2013,2014,2015
17,DAL,Tyler Zeller,2012,2013,2014,2015
18,HOU,Terrence Jones,2012,2013,2014,2015
19,ORL,Andrew Nicholson,2012,2013,2014,2015
20,DEN,Evan Fournier,2012,2013,2014,2015
21,BOS,Jared Sullinger,2012,2013,2014,2015
22,BOS,Fab Melo,2012,2013,2014,2015
23,ATL,John Jenkins,2012,2013,2014,2015
24,CLE,Jared Cunningham,2012,2013,2014,2015
25,MEM,Tony Wroten,2012,2013,2014,2015
26,IND,Miles Plumlee,2012,2013,2014,2015
27,MIA,Arnett Moultrie,2012,2013,2014,2015
28,OKC,Perry Jones,2012,2013,2014,2015
29,CHI,Marquis Teague,2012,2013,2014,2015
30,GSW,Festus Ezeli,2012,2013,2014,2015
,,Round 2,2012,2013,2014,2015
Pk,Tm,Player,2012,2013,2014,2015
31,CHA,Jeff Taylor,2012,2013,2014,2015
32,WAS,TomÃ¡Å¡ SatoranskÃ½,2012,2013,2014,2015
33,CLE,Bernard James,2012,2013,2014,2015
34,CLE,Jae Crowder,2012,2013,2014,2015
35,GSW,Draymond Green,2012,2013,2014,2015
36,SAC,Orlando Johnson,2012,2013,2014,2015
37,TOR,Quincy Acy,2012,2013,2014,2015
38,DEN,Quincy Miller,2012,2013,2014,2015
39,DET,Khris Middleton,2012,2013,2014,2015
40,POR,Will Barton,2012,2013,2014,2015
41,POR,Tyshawn Taylor,2012,2013,2014,2015
42,MIL,Doron Lamb,2012,2013,2014,2015
43,ATL,Mike Scott,2012,2013,2014,2015
44,DET,Kim English,2012,2013,2014,2015
45,PHI,Justin Hamilton,2012,2013,2014,2015
46,NOH,Darius Miller,2012,2013,2014,2015
47,UTA,Kevin Murphy,2012,2013,2014,2015
48,NYK,Kostas Papanikolaou,2012,2013,2014,2015
49,ORL,Kyle O'Quinn,2012,2013,2014,2015
50,DEN,Ä°zzet TÃ¼rkyÄ±lmaz,2012,2013,2014,2015
