Season,Team Acquiring,Acquired Player,Team Losing,Acquisition Type,Acquiring GM,Losing GM,Year 2,Helper,AAV
2022,BOS,Al Horford,OKC,Trade,Brad Stevens,Sam Presti,2023,2022Al Horford,26.5
2022,OKC,Kemba Walker,BOS,Trade,Sam Presti,Brad Stevens,2023,2022Kemba Walker,9.2
2022,LAC,Jason Preston,ORL,Trade,Michael Winger,John Hammond,2023,2022Jason Preston,1
2022,OKC,Derrick Favors,UTA,Trade,Sam Presti,Justin Zanik,2023,2022Derrick Favors,10.2
2022,IND,Isaiah Todd,MIL,Trade,Chad Buchanan,Jon Horst,2023,2022Isaiah Todd,1.5
2022,CHO,Kai Jones,NYK,Trade,Mitch Kupchak,Scott Perry,2023,2022Kai Jones,2.9
2022,LAC,Keon Johnson,NYK,Trade,Michael Winger,Scott Perry,2023,2022Keon Johnson,2.7
2022,NYK,Quentin Grimes,LAC,Trade,Scott Perry,Michael Winger,2023,2022Quentin Grimes,2.2
2022,NYK,Miles McBride,OKC,Trade,Scott Perry,Sam Presti,2023,2022Miles McBride,1.1
2022,OKC,Jeremiah Robinson-Earl,NYK,Trade,Sam Presti,Scott Perry,2023,2022Jeremiah Robinson-Earl,1.5
2022,HOU,Alperen Sengun,OKC,Trade,Rafael Stone,Sam Presti,2023,2022Alperen Sengun,3.2
2022,BOS,Josh Richardson,DAL,Trade,Brad Stevens,Nico Harrison,2023,2022Josh Richardson,11.6
2022,DAL,Moses Brown,BOS,Trade,Nico Harrison,Brad Stevens,2023,2022Moses Brown,1.6
2022,MIN,Tauren Prince,CLE,Trade,Sachin Gupta,Koby Altman,2023,2022Tauren Prince,7.3
2022,CLE,Ricky Rubio,MIN,Trade,Koby Altman,Sachin Gupta,2023,2022Ricky Rubio,17
2022,CHO,Mason Plumlee,DET,Trade,Mitch Kupchak,Troy Weaver,2023,2022Mason Plumlee,9.1
2022,MIA,Kyle Lowry,TOR,Trade,Andy Elisburg,Bobby Webster,2023,2022Kyle Lowry,28.3
2022,TOR,Precious Achiuwa,MIA,Trade,Bobby Webster,Andy Elisburg,2023,2022Precious Achiuwa,2.7
2022,TOR,Goran Dragic,MIA,Trade,Bobby Webster,Andy Elisburg,2023,2022Goran Dragic,19.4
2022,BRK,Jevon Carter,PHO,Trade,Sean Marks,James Jones,2023,2022Jevon Carter,2
