Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
Precious Achiuwa,C,22,TOR,73,1725,12.7,.503,.259,.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,0.4,2.1,2.5,.070,-2.0,-0.6,-2.6,-0.2,2022
Steven Adams,C,28,MEM,76,1999,17.6,.560,.003,.518,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,3.8,3.0,6.8,.163,1.0,1.0,2.0,2.0,2022
Bam Adebayo,C,24,MIA,56,1825,21.8,.608,.008,.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,3.6,3.5,7.2,.188,1.7,2.1,3.8,2.7,2022
Santi Aldama,PF,21,MEM,32,360,10.2,.452,.364,.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,-0.1,0.4,0.3,.044,-4.2,-1.5,-5.7,-0.3,2022
LaMarcus Aldridge,C,36,BRK,47,1050,19.6,.604,.100,.223,7.8,18.7,13.4,6.3,0.6,4.0,8.0,22.4,2.1,1.0,3.1,.141,1.3,-0.6,0.7,0.7,2022
Nickeil Alexander-Walker,SG,23,TOT,65,1466,10.5,.475,.497,.160,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,-1.1,1.1,0.1,.003,-1.8,-1.1,-2.9,-0.3,2022
Nickeil Alexander-Walker,SG,23,NOP,50,1317,10.5,.474,.483,.153,3.0,11.0,6.9,16.1,1.5,1.4,11.2,24.8,-1.1,0.9,-0.1,-0.005,-1.7,-1.3,-3.0,-0.3,2022
Nickeil Alexander-Walker,SG,23,UTA,15,149,10.2,.497,.688,.250,0.8,15.6,8.5,15.5,1.7,2.4,13.1,17.9,0.0,0.2,0.2,.070,-2.9,1.2,-1.7,0.0,2022
Grayson Allen,SG,26,MIL,66,1805,12.7,.609,.684,.130,1.9,10.9,6.5,7.6,1.2,1.0,6.7,15.2,2.8,1.4,4.2,.110,0.6,-0.2,0.4,1.1,2022
Jarrett Allen,C,23,CLE,56,1810,23.0,.698,.018,.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,5.4,3.0,8.5,.224,2.7,1.2,3.9,2.7,2022
Jose Alvarado,PG,23,NOP,54,834,16.4,.520,.374,.180,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,1.0,1.1,2.1,.121,-0.5,2.4,1.9,0.8,2022
Justin Anderson,SF,28,TOT,16,316,10.4,.493,.621,.200,1.4,15.0,8.1,14.2,1.2,1.7,7.2,15.1,0.2,0.2,0.4,.054,-1.9,-1.3,-3.2,-0.1,2022
Justin Anderson,SF,28,CLE,3,47,10.7,.666,.750,.500,0.0,13.8,7.1,17.3,1.1,0.0,17.0,11.1,0.1,0.0,0.1,.124,-3.0,0.4,-2.6,0.0,2022
Justin Anderson,SF,28,IND,13,269,10.3,.475,.609,.172,1.6,15.2,8.3,13.6,1.3,1.9,6.0,15.8,0.1,0.1,0.2,.041,-1.7,-1.6,-3.3,-0.1,2022
Kyle Anderson,PF,28,MEM,69,1484,14.4,.506,.232,.224,4.8,21.6,13.0,16.2,2.5,2.7,12.1,16.2,1.0,2.5,3.5,.113,-0.9,2.1,1.2,1.2,2022
Giannis Antetokounmpo,PF,27,MIL,67,2204,32.1,.633,.194,.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,9.2,3.7,12.9,.281,7.6,3.5,11.2,7.4,2022
Thanasis Antetokounmpo,SF,29,MIL,48,473,12.5,.577,.109,.359,9.2,13.4,11.3,6.5,1.6,2.4,14.9,15.7,0.4,0.5,0.9,.095,-3.5,-0.1,-3.5,-0.2,2022
Carmelo Anthony,PF,37,LAL,69,1793,14.8,.579,.549,.220,3.7,13.5,8.6,5.6,1.3,2.6,6.9,20.4,2.2,1.4,3.6,.097,0.4,-0.8,-0.5,0.7,2022
Cole Anthony,PG,21,ORL,65,2059,13.5,.519,.429,.277,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,-0.1,1.7,1.6,.038,-0.6,-0.6,-1.2,0.4,2022
