Acquiring GM,Team Acquiring,AAV_sum,Acquired Player Win Shares Year 1,Count,Cost of Win Share,Win Shares per Million,Grade,z score
Andy Elisburg,MIA,48.62,15.4,5,3.157142857142857,0.3167420814479638,C,-0.03212432955746623
Anthony Parker,ORL,11.0,2.6,1,4.230769230769231,0.23636363636363636,C,-0.2842610585808027
Bob Myers,GSW,13.91,4.6,4,3.0239130434782613,0.3306973400431344,C,0.01165150177604133
Bobby Webster,TOR,29.89,-0.5,8,-59.78,-0.01672800267648043,F,-1.0781766157153199
Brad Stevens,BOS,29.9,4.2,10,7.119047619047619,0.14046822742474918,D,-0.5850724852367871
Brian Wright,SAS,31.299999999999997,4.9,6,6.387755102040815,0.1565495207667732,D,-0.5346275593929393
Calvin Booth,DEN,23.4,13.5,6,1.7333333333333332,0.576923076923077,A,0.7840296167437639
Chad Buchanan,IND,34.08,4.7,5,7.251063829787233,0.13791079812206575,D,-0.593094808365961
Daryl Morey,PHI,31.22,14.1,9,2.2141843971631205,0.4516335682254965,B,0.39101272184356145
James Jones,PHO,26.1,18.4,10,1.4184782608695654,0.7049808429118773,A,1.1857301747550268
Joe Cronin,POR,19.490000000000002,2.7,7,7.218518518518519,0.13853258081067213,D,-0.5911443569345596
John Hammond,ORL,2.91,0.8,1,3.6375,0.274914089347079,C,-0.16333330105307714
Jon Horst,MIL,27.24,10.3,7,2.6446601941747567,0.3781204111600588,B,0.16041150850567926
Justin Zanik,UTA,13.57,8.5,4,1.596470588235294,0.6263817243920413,A,0.9391749617633145
Koby Altman,CLE,55.33,14.8,9,3.7385135135135132,0.2674859931321164,C,-0.1866342728564802
Landry Fields,ATL,6.5,1.8,3,3.611111111111111,0.27692307692307694,C,-0.15703136829574132
Leon Rose,NYK,13.8,6.5,2,2.123076923076923,0.47101449275362317,B,0.4518081616016121
Marc Eversley,CHI,74.59,19.8,10,3.7671717171717174,0.2654511328596326,C,-0.19301736489795135
Michael Winger,LAC,17.95,6.3999999999999995,3,2.8046875,0.3565459610027855,B,0.09273526411671494
Mike Dunleavy Jr.,GSW,19.3,6.6000000000000005,4,2.9242424242424243,0.34196891191709844,C,0.04700895687822862
Mitch Kupchak,CHO,21.52,-0.2,5,-107.6,-0.00929368029739777,F,-1.054856113244784
Monte McNair,SAC,30.24,6.6,8,4.581818181818182,0.21825396825396826,C,-0.3410687322808786
Nico Harrison,DAL,47.4,11.0,9,4.309090909090909,0.23206751054852323,C,-0.297737446552216
Rafael Stone,HOU,86.99,16.9,6,5.147337278106509,0.19427520404644213,D,-0.4162869971647605
Rob Pelinka,LAL,69.0,28.4,24,2.4295774647887325,0.4115942028985507,B,0.2654144399271207
Sam Presti,OKC,2.0,3.8,1,0.5263157894736842,1.9000000000000001,A,4.934349858456453
Scott Perry,NYK,63.6,18.799999999999997,5,3.382978723404256,0.2955974842767295,C,-0.09845218103155048
Sean Marks,BRK,30.53,13.0,13,2.3484615384615384,0.4258106780216181,B,0.31000967353746545
Tim Connelly,MIN,12.1,1.7000000000000002,4,7.117647058823528,0.14049586776859507,D,-0.5849857810727657
Tommy Sheppard,WAS,21.85,1.7000000000000002,2,12.852941176470587,0.07780320366132724,F,-0.7816445152045532
Trajan Langdon,NOP,18.75,4.4,3,4.261363636363636,0.2346666666666667,C,-0.2895842318295109
Travis Schlenk,ATL,5.84,1.2,2,4.866666666666667,0.2054794520547945,D,-0.3811407282735371
Troy Weaver,DET,15.2,1.6,2,9.499999999999998,0.10526315789473686,F,-0.6955062099377793
Will Dawkins,WAS,10.9,4.5,2,2.4222222222222225,0.4128440366972477,B,0.2693350060129122
Zach Kleiman,MEM,2.4,0.4,1,5.999999999999999,0.16666666666666669,D,-0.5028913884384654
