Acquiring GM,Team Acquiring,AAV_sum,Acquired Player Win Shares Year 1_acquired,Count,Cost of Win Share_acquired,Losing GM,AAV,Acquired Player Win Shares Year 1_losing,Cost of Win Share_losing,final_ratio,Grade,z score
Andy Elisburg,MIA,51.5,8.3,2,6.204819277108434,Andy Elisburg,23.9,2.8,8.535714285714286,2.964285714285715,A,0.8247401933099449
Bobby Webster,TOR,38.0,4.2,4,9.047619047619047,Bobby Webster,45.0,9.4,4.787234042553191,0.44680851063829785,F,-0.682599526249105
Brad Stevens,BOS,122.1,24.2,12,5.045454545454545,Brad Stevens,73.3,7.1,10.323943661971832,3.408450704225352,A,1.0906840240638254
Brian Wright,SAS,41.3,2.6,7,15.884615384615383,Brian Wright,62.3,14.3,4.356643356643357,0.18181818181818182,F,-0.8412625113005144
Calvin Booth,DEN,22.8,5.0,4,4.5600000000000005,Calvin Booth,28.799999999999997,0.7,41.14285714285714,7.142857142857143,A,3.326660240957157
Chad Buchanan,IND,116.7,12.1,19,9.644628099173554,Chad Buchanan,121.2,13.1,9.251908396946565,0.9236641221374046,D,-0.39708218266965895
Daryl Morey,PHI,74.19999999999999,9.100000000000001,4,8.153846153846152,Daryl Morey,112.8,13.100000000000001,8.610687022900763,0.6946564885496184,D,-0.5342005254649651
James Jones,PHO,87.10000000000001,14.3,8,6.090909090909091,James Jones,60.900000000000006,7.6,8.013157894736842,1.8815789473684212,A,0.17646941173333908
Joe Cronin,POR,31.2,2.9,5,10.758620689655173,Joe Cronin,178.1,25.5,6.984313725490196,0.11372549019607843,F,-0.882033017005581
Jon Horst,MIL,77.1,15.1,5,5.105960264900662,Jon Horst,24.9,9.0,2.7666666666666666,1.6777777777777778,B,0.054443441698143843
Justin Zanik,UTA,67.6,19.5,9,3.4666666666666663,Justin Zanik,152.0,24.7,6.153846153846154,0.7894736842105263,D,-0.47742872037778566
Koby Altman,CLE,84.9,16.9,5,5.0236686390532554,Koby Altman,73.5,15.2,4.835526315789474,1.1118421052631577,C,-0.28441059704377913
Landry Fields,ATL,31.1,6.4,6,4.859375,Landry Fields,17.5,4.9,3.571428571428571,1.3061224489795917,C,-0.1680852224230762
Marc Eversley,CHI,48.8,13.2,3,3.696969696969697,Marc Eversley,51.7,7.1,7.281690140845071,1.8591549295774648,B,0.16304302890872566
Michael Winger,LAC,39.199999999999996,5.1,7,7.686274509803921,Michael Winger,41.1,4.6,8.934782608695652,1.108695652173913,C,-0.28629453613577016
Mike Dunleavy Jr.,GSW,11.899999999999999,0.6000000000000001,2,19.83333333333333,Mike Dunleavy Jr.,9.6,0.6,16.0,1.0000000000000002,C,-0.3513760684045567
Mitch Kupchak,CHO,54.5,8.9,9,6.123595505617978,Mitch Kupchak,47.7,5.8,8.224137931034484,1.5344827586206897,B,-0.03135446490355769
Monte McNair,SAC,73.4,9.2,9,7.978260869565219,Monte McNair,64.5,8.9,7.247191011235954,1.0337078651685392,C,-0.3311934808695175
Nico Harrison,DAL,103.30000000000001,12.5,7,8.264000000000001,Nico Harrison,119.5,9.4,12.712765957446807,1.3297872340425532,B,-0.15391593007415316
Rafael Stone,HOU,67.8,2.7,14,25.111111111111107,Rafael Stone,27.3,6.3999999999999995,4.265625000000001,0.42187500000000006,F,-0.6975284681591658
Rob Pelinka,LAL,129.3,7.8,7,16.57692307692308,Rob Pelinka,55.5,13.799999999999999,4.021739130434783,0.5652173913043479,D,-0.6117021974797033
Sachin Gupta,MIN,20.3,4.1,2,4.951219512195123,Sachin Gupta,20.3,1.4000000000000001,14.5,2.928571428571428,A,0.8033562612787714
Sam Presti,OKC,31.799999999999997,2.9,8,10.96551724137931,Sam Presti,72.4,10.3,7.029126213592233,0.2815533980582524,F,-0.7815460409151389
Scott Perry,NYK,42.2,8.5,7,4.964705882352941,Scott Perry,54.9,6.8,8.073529411764707,1.25,C,-0.20168854418634757
Sean Marks,BRK,143.5,13.5,15,10.62962962962963,Sean Marks,176.9,13.5,13.103703703703705,1.0,D,-0.3513760684045568
Tim Connelly,MIN,28.4,2.8,2,10.142857142857142,Tim Connelly,34.1,1.5,22.733333333333334,1.8666666666666665,A,0.1675406822185685
Tommy Sheppard,WAS,82.1,14.2,6,5.78169014084507,Tommy Sheppard,86.5,7.9,10.949367088607595,1.7974683544303796,B,0.12610818606365487
Trajan Langdon,NOP,76.8,14.2,7,5.408450704225352,Trajan Langdon,68.19999999999999,10.4,6.557692307692307,1.3653846153846152,B,-0.1326019945471742
Travis Schlenk,ATL,13.8,3.6,2,3.8333333333333335,Travis Schlenk,12.9,0.5,25.8,7.2,A,3.360874532207033
Troy Weaver,DET,91.0,11.0,10,8.272727272727273,Troy Weaver,42.4,11.8,3.5932203389830506,0.9322033898305084,D,-0.3919692953111899
Will Dawkins,WAS,39.599999999999994,1.3,4,30.461538461538456,Will Dawkins,28.9,5.8,4.982758620689655,0.22413793103448276,F,-0.8159235573576201
Zach Kleiman,MEM,76.0,9.399999999999999,13,8.085106382978724,Zach Kleiman,68.5,21.5,3.186046511627907,0.4372093023255813,F,-0.6883470531562467
