Player,Team,Pos,WS,WS/48,Year
A.J. Green,MIL,SG,0.8,0.111,2023
A.J. Green,MIL,SG,1.1,0.084,2024
A.J. Hammons,DAL,C,0.0,-0.001,2017
A.J. Lawson,2TM,SG,0.1,0.063,2023
A.J. Lawson,DAL,SG,0.2,0.036,2024
A.J. Price,IND,PG,0.7,0.063,2012
A.J. Price,WAS,PG,2.2,0.084,2013
A.J. Price,MIN,SG,0.0,-0.012,2014
A.J. Price,3TM,PG,0.3,0.041,2015
AJ Griffin,ATL,SF,2.2,0.075,2023
AJ Griffin,ATL,SF,-0.4,-0.12,2024
Aaron Brooks,2TM,PG,0.8,0.041,2013
Aaron Brooks,2TM,PG,2.2,0.067,2014
Aaron Brooks,CHI,PG,3.3,0.083,2015
Aaron Brooks,CHI,PG,0.9,0.04,2016
Aaron Brooks,IND,PG,0.3,0.016,2017
Aaron Brooks,MIN,PG,0.1,0.033,2018
Aaron Gordon,ORL,PF,1.0,0.06,2015
Aaron Gordon,ORL,PF,5.4,0.139,2016
Aaron Gordon,ORL,SF,3.7,0.077,2017
Aaron Gordon,ORL,PF,2.9,0.072,2018
Aaron Gordon,ORL,PF,5.1,0.093,2019
Aaron Gordon,ORL,PF,3.7,0.087,2020
Aaron Gordon,2TM,PF,1.9,0.066,2021
Aaron Gordon,DEN,PF,5.2,0.105,2022
Aaron Gordon,DEN,PF,6.8,0.158,2023
Aaron Gordon,DEN,PF,7.1,0.148,2024
Aaron Gray,TOR,C,1.4,0.082,2012
Aaron Gray,TOR,C,0.5,0.05,2013
Aaron Gray,2TM,C,0.1,0.016,2014
Aaron Harrison,CHO,SG,0.0,-0.014,2016
Aaron Harrison,CHO,SG,-0.1,-0.146,2017
Aaron Harrison,DAL,SG,-0.1,-0.014,2018
Aaron Henry,PHI,SF,-0.1,-0.306,2022
Aaron Holiday,IND,PG,0.9,0.065,2019
Aaron Holiday,IND,PG,2.1,0.063,2020
Aaron Holiday,IND,PG,0.2,0.009,2021
Aaron Holiday,2TM,PG,1.5,0.068,2022
Aaron Holiday,ATL,PG,0.9,0.053,2023
Aaron Holiday,HOU,PG,2.5,0.094,2024
Aaron Jackson,HOU,PG,0.0,-0.017,2018
Aaron Nesmith,BOS,SF,1.1,0.076,2021
Aaron Nesmith,BOS,SF,0.4,0.038,2022
Aaron Nesmith,IND,SF,2.0,0.052,2023
Aaron Nesmith,IND,SF,4.1,0.098,2024
Aaron Wiggins,OKC,SG,1.2,0.048,2022
Aaron Wiggins,OKC,SG,2.6,0.097,2023
Aaron Wiggins,OKC,SG,3.7,0.144,2024
Abdel Nader,BOS,SF,-0.1,-0.014,2018
Abdel Nader,OKC,SF,0.9,0.062,2019
Abdel Nader,OKC,SF,1.3,0.074,2020
Abdel Nader,PHO,SF,0.7,0.095,2021
Abdel Nader,PHO,SF,0.0,-0.009,2022
Adam Flagler,OKC,SG,0.0,-0.159,2024
Adam Mokoka,CHI,SF,0.2,0.073,2020
Adam Mokoka,CHI,SG,-0.1,-0.112,2021
Adama Sanogo,CHI,PF,0.2,0.133,2024
Ade Murkey,SAC,SG,0.0,-0.017,2022
Admiral Schofield,WAS,PF,0.1,0.017,2020
Admiral Schofield,ORL,SF,0.3,0.027,2022
Admiral Schofield,ORL,PF,0.8,0.089,2023
Admiral Schofield,ORL,PF,0.0,0.006,2024
Adonis Thomas,2TM,SF,0.0,0.001,2014
Adreian Payne,2TM,PF,-0.5,-0.033,2015
Adreian Payne,MIN,PF,-0.5,-0.047,2016
Adreian Payne,MIN,PF,0.2,0.086,2017
Adreian Payne,ORL,PF,0.2,0.203,2018
Ahmad Caver,IND,SG,0.0,1.204,2022
Al Harrington,DEN,PF,3.2,0.088,2012
Al Harrington,ORL,C,0.0,-0.012,2013
Al Harrington,WAS,PF,0.4,0.035,2014
Al Horford,ATL,C,1.3,0.18,2012
